
Target: FloripaSat_2

Observer: INPE_RN
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Jan 2022 12:46:36.006    01 Jan 2022 12:51:46.261      310.25456213    
02 Jan 2022 00:40:58.542    02 Jan 2022 00:44:59.171      240.62860329    
02 Jan 2022 12:40:38.073    02 Jan 2022 12:45:07.917      269.84419429    
03 Jan 2022 00:35:22.885    03 Jan 2022 00:37:57.469      154.58436917    
03 Jan 2022 02:09:58.216    03 Jan 2022 02:11:57.229      119.01356438    
03 Jan 2022 12:34:49.110    03 Jan 2022 12:38:19.668      210.55819897    
04 Jan 2022 02:02:47.963    04 Jan 2022 02:06:30.847      222.88397042    
04 Jan 2022 12:29:23.534    04 Jan 2022 12:31:07.128      103.59368065    
04 Jan 2022 14:04:16.656    04 Jan 2022 14:04:50.967      34.311610751    
05 Jan 2022 01:55:58.933    05 Jan 2022 02:00:41.813      282.88072776    
05 Jan 2022 13:56:37.908    05 Jan 2022 13:59:48.477      190.56932159    
06 Jan 2022 01:49:18.441    06 Jan 2022 01:54:42.835      324.39396128    
06 Jan 2022 13:49:43.384    06 Jan 2022 13:54:00.610      257.22607349    
07 Jan 2022 01:42:43.202    07 Jan 2022 01:48:37.221      354.01921738    
07 Jan 2022 13:42:59.568    07 Jan 2022 13:48:00.907      301.33897009    
08 Jan 2022 01:36:11.805    08 Jan 2022 01:42:26.407      374.60179597    
08 Jan 2022 13:36:21.865    08 Jan 2022 13:41:53.982      332.11771050    
09 Jan 2022 01:29:43.540    09 Jan 2022 01:36:11.123      387.58288755    
09 Jan 2022 13:29:48.500    09 Jan 2022 13:35:41.637      353.13741738    
10 Jan 2022 01:23:18.050    10 Jan 2022 01:29:51.748      393.69730979    
10 Jan 2022 13:23:18.618    10 Jan 2022 13:29:24.748      366.12966297    
11 Jan 2022 01:16:55.204    11 Jan 2022 01:23:28.435      393.23162382    
11 Jan 2022 13:16:51.798    11 Jan 2022 13:23:03.760      371.96191640    
12 Jan 2022 01:10:35.048    12 Jan 2022 01:17:01.159      386.11075556    
12 Jan 2022 13:10:27.880    12 Jan 2022 13:16:38.857      370.97691118    
13 Jan 2022 01:04:17.821    13 Jan 2022 01:10:29.702      371.88141870    
13 Jan 2022 13:04:06.911    13 Jan 2022 13:10:10.015      363.10337180    
14 Jan 2022 00:58:04.013    14 Jan 2022 01:03:53.595      349.58119736    
14 Jan 2022 12:57:49.159    14 Jan 2022 13:03:36.994      347.83571045    
15 Jan 2022 00:51:54.548    15 Jan 2022 00:57:11.934      317.38576151    
15 Jan 2022 12:51:35.188    15 Jan 2022 12:56:59.255      324.06641075    
16 Jan 2022 00:45:51.273    16 Jan 2022 00:50:22.896      271.62323092    
16 Jan 2022 12:45:26.105    16 Jan 2022 12:50:15.717      289.61208647    
17 Jan 2022 00:39:58.817    17 Jan 2022 00:43:21.870      203.05303072    
17 Jan 2022 12:39:24.279    17 Jan 2022 12:43:24.041      239.76153616    
18 Jan 2022 00:34:45.838    18 Jan 2022 00:35:40.224      54.385993292    
18 Jan 2022 02:07:56.126    18 Jan 2022 02:11:04.903      188.77666384    
18 Jan 2022 12:33:36.730    18 Jan 2022 12:36:17.236      160.50588578    
19 Jan 2022 02:00:52.627    19 Jan 2022 02:05:14.362      261.73529044    
19 Jan 2022 14:01:29.457    19 Jan 2022 14:04:03.809      154.35147369    
20 Jan 2022 01:54:00.871    20 Jan 2022 01:59:10.658      309.78701916    
20 Jan 2022 13:54:18.301    20 Jan 2022 13:58:16.541      238.23957826    
21 Jan 2022 01:47:15.537    21 Jan 2022 01:52:59.142      343.60487756    
21 Jan 2022 13:47:22.545    21 Jan 2022 13:52:12.790      290.24503698    
22 Jan 2022 01:40:34.639    22 Jan 2022 01:46:41.819      367.17986095    
22 Jan 2022 13:40:34.330    22 Jan 2022 13:46:00.436      326.10672482    
23 Jan 2022 01:33:57.233    23 Jan 2022 01:40:19.662      382.42875355    
23 Jan 2022 13:33:51.138    23 Jan 2022 13:39:42.023      350.88459409    
24 Jan 2022 01:27:22.841    24 Jan 2022 01:33:53.170      390.32870756    
24 Jan 2022 13:27:11.832    24 Jan 2022 13:33:18.711      366.87902114    
25 Jan 2022 01:20:51.261    25 Jan 2022 01:27:22.568      391.30755616    
25 Jan 2022 13:20:35.849    25 Jan 2022 13:26:51.088      375.23940692    
26 Jan 2022 01:14:22.495    26 Jan 2022 01:20:47.877      385.38187573    
26 Jan 2022 13:14:02.943    26 Jan 2022 13:20:19.421      376.47757631    
27 Jan 2022 01:07:56.748    27 Jan 2022 01:14:08.913      372.16489508    
